설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
평화약국,경기도,평택시,경기도 평택시 청북읍 청북산단로 48-8,경기도 평택시 청북읍 어연리 889-3,37.050444,126.975439,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
현화메디컬약국,경기도,평택시,경기도 평택시 안중읍 안현로서8길 17,경기도 평택시 안중읍 현화리 837-1,36.978759,126.923363,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
햇빛약국,경기도,평택시,"경기도 평택시 여술로 21, 1층 (선구빌딩)",경기도 평택시 포승읍 도곡리 1143번지 12호 1층,36.988297,126.845057,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
항만약국,경기도,평택시,경기도 평택시 평택항로 1-6,경기도 평택시 포승읍 만호리 311번지 26호,36.961862,126.853867,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
한솔약국,경기도,평택시,"경기도 평택시 안현로서6길 74, 1층",경기도 평택시 안중읍 현화리 334번지 1호,36.98479987,126.921132,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
하늘온누리약국,경기도,평택시,"경기도 평택시 안현로 417, 세정빌딩 (102호)",경기도 평택시 안중읍 안중리 298 만성빌딩,36.987292,126.931275,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
하나약국,경기도,평택시,경기도 평택시 서동대로 1124,경기도 평택시 포승읍 내기리 1-7 우일빌딩1층,36.980665,126.879913,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
포승중앙약국,경기도,평택시,"경기도 평택시 여술로 22, 101호",경기도 평택시 포승읍 도곡리 1144번지 1호,36.988010,126.845252,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
포승종로약국,경기도,평택시,경기도 평택시 여술로 37,경기도 평택시 포승읍 도곡리 1142번지 18호,36.988923,126.846452,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
튼튼약국,경기도,평택시,"경기도 평택시 안중로 143, 101호 (녹원빌딩)",경기도 평택시 안중읍 안중리 233번지 19호 녹원빌딩 101호,36.989265,126.932213,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
충무약국,경기도,평택시,경기도 평택시 2함대길 20 (해군아파트 상가내),경기도 평택시 포승읍 원정리 1275번지,36.99473725,126.834771,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
청북온누리약국,경기도,평택시,"경기도 평택시 안청로 332, 한남프라자 102호",경기도 평택시 청북읍 옥길리 1162번지 1호 한남프라자 102호,37.017548,126.915951,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
청북약국,경기도,평택시,경기도 평택시 청북읍 신포길 47,경기도 평택시 청북읍 후사리 89-2,37.040133,126.933244,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
참조은약국,경기도,평택시,경기도 평택시 안중읍 안현로서6길 50,경기도 평택시 안중읍 현화리 250-4,36.984882,126.923861,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
365중앙약국,경기도,평택시,경기도 평택시 안중읍 안현로서6길 18,경기도 평택시 안중읍 현화리 27,36.98418432,126.9274024,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
중앙메디칼약국,경기도,평택시,경기도 평택시 서동대로 786,경기도 평택시 포승읍 만호리 313번지 9호,36.960755,126.855882,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
조은약국,경기도,평택시,"경기도 평택시 안중로131번길 4, 도도와빌딩 1층",경기도 평택시 안중읍 안중리 233번지 15호,36.989075,126.931182,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
우리동네효자약국,경기도,평택시,경기도 평택시 청북읍 청북남로 254,경기도 평택시 청북읍 옥길리 1157-5,37.019666,126.915943,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
옹달샘약국,경기도,평택시,경기도 평택시 청북남로 260,경기도 평택시 청북읍 옥길리 1157번지 2호,37.01962979,126.915361,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
오성당약국,경기도,평택시,경기도 평택시 숙성시장길 34-1,경기도 평택시 오성면 숙성리 137번지 9호,37.007533,126.981700,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
에덴약국,경기도,평택시,경기도 평택시 안현로서2길 20,경기도 평택시 안중읍 안중리 290번지 4호,36.988269,126.929688,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
안중조약국,경기도,평택시,경기도 평택시 안중읍 안중로 130-2,경기도 평택시 안중읍 안중리 292-17,36.988649,126.930885,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
안중온누리약국,경기도,평택시,경기도 평택시 안중읍 안중로 139,경기도 평택시 안중읍 안중리 233-14,36.989099,126.931833,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
편한약국,경기도,평택시,경기도 평택시 동삭로 370-4 (동삭동),,37.018368,127.095889,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
조아약국,경기도,평택시,경기도 평택시 평택4로 46 (합정동),경기도 평택시 합정동 763-17,36.991832,127.100955,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
미루나무 약국,경기도,평택시,경기도 평택시 통복로37번길 5 (통복동),경기도 평택시 통복동 110-1,36.99529438,127.082906,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
아이본약국,경기도,평택시,"경기도 평택시 평택5로34번길 6-1, 1층 103호 (합정동)",경기도 평택시 합정동 965-3,36.989084,127.111760,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
늘푸른온누리약국,경기도,평택시,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 1층 2호 (동삭동)",경기도 평택시 동삭동 0,37.02063576,127.092978,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
그린약국,경기도,평택시,"경기도 평택시 평택로32번길 24, 1층 3호 (평택동, 라페온빌1차)",경기도 평택시 평택동 293-4,36.991050,127.089270,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
세교약국,경기도,평택시,"경기도 평택시 세교7길 30, 101호 (세교동)",경기도 평택시 세교동 618-6,37.00425979,127.088224,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
별빛약국,경기도,평택시,"경기도 평택시 지제동삭1로 41, 130동 2층 33호 (지제동, 지제역 더샵 센트럴시티)",경기도 평택시 지제동 0,37.022175,127.075311,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
훈약국,경기도,평택시,경기도 평택시 평택로 95(통복동),경기도 평택시 통복동 112-25,36.994970,127.083482,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
모산골약국,경기도,평택시,"경기도 평택시 지제동삭2로 181-24, 1층 107호 (동삭동)",경기도 평택시 동삭동 0,37.02063576,127.092978,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
봄빛약국,경기도,평택시,"경기도 평택시 소사5길 24, 202호 (소사동)",,36.9906173,127.1269763,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
온정약국,경기도,평택시,"경기도 평택시 평택5로 191, 온정약국 1층 (비전동)",경기도 평택시 비전동 819,36.996505,127.102720,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
나음약국,경기도,평택시,"경기도 평택시 중앙로 270, 1층 101호 (합정동)",경기도 평택시 합정동 964-11,36.989893,127.112683,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
세교 봄약국,경기도,평택시,"경기도 평택시 세교7길 52, SJ빌딩 1층 102호 (세교동)",경기도 평택시 세교동 617-4,37.006452,127.089475,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
평택예스약국,경기도,평택시,경기도 평택시 지제동삭1로 208 (동삭동),,37.02063576,127.092978,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
지제약국,경기도,평택시,"경기도 평택시 영신2길 19, 103호 (세교동)",,37.00905052,127.0907222,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
365약국,경기도,평택시,"경기도 평택시 소사5길 120, 106호 (소사동)",,36.9917128,127.126462,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
비전상상약국,경기도,평택시,"경기도 평택시 비전4로 142, 110-111호 (비전동)",,37.00874986,127.107202,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
365열린약국,경기도,평택시,"경기도 평택시 평남로 1047-1, 102호 (동삭동)",,37.0094348,127.094914,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
슬림라이프약국,경기도,평택시,"경기도 평택시 모산영신1길 45, 1층 (동삭동)",,37.02063576,127.092978,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
현덕면사무소,경기도,평택시,경기도 평택시 인광길 84 현덕면 행정복지센터,경기도 평택시 현덕면 인광리 402-12 행정복지센터,36.967352,126.921491,면사무소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
온누리수정약국,경기도,평택시,경기도 평택시 중앙시장로20번길 20 (신장동),경기도 평택시 신장동 274-157,37.07928472,127.0530048,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
오성면사무소,경기도,평택시,경기도 평택시 오성면 숙성길 220,경기도 평택시 오성면 숙성리 134-10,37.00727199,126.9801998,면사무소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
포승읍사무소,경기도,평택시,경기도 평택시 서동대로 1174-16 포승읍사무소,경기도 평택시 포승읍 방림리 52-13 사무소,36.982815,126.885307,읍사무소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
청북읍사무소,경기도,평택시,경기도 평택시 청북읍 청원로 2,경기도 평택시 청북읍 현곡리 293-4,37.040073,126.934583,읍사무소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
안중읍사무소,경기도,평택시,경기도 평택시 안현로 400,경기도 평택시 안중읍 안중리 299-10,36.98562396,126.931995,읍사무소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
안중출장소,경기도,평택시,경기도 평택시 안중읍 서동대로 1531,경기도 평택시 안중읍 학현리 572,36.990138,126.920147,출장소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
장수진료소,경기도,평택시,경기도 평택시 장수안길 35 장수 보건진료소,경기도 평택시 현덕면 장수리 147-2 장수 보건진료소,36.939710,126.901314,보건지소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
신영진료소,경기도,평택시,경기도 평택시 중간촌길 18-4 포승읍 신영리 보건진료소,경기도 평택시 포승읍 신영리 235-1 포승읍 신영리 보건진료소,36.953593,126.882622,보건지소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
어연진료소,경기도,평택시,경기도 평택시 청북읍 청원로 427,경기도 평택시 청북읍 어연리 898,37.051019,126.977354,보건지소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
봄봄온누리약국,경기도,평택시,"경기도 평택시 중앙로 96, 101, 102호 (합정동)",경기도 평택시 합정동 672-2,36.993409,127.093769,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
비전미소약국,경기도,평택시,"경기도 평택시 비전5로 37, 102호 (비전동)",경기도 평택시 비전동 1097-1,37.001587,127.114716,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
평택정문약국,경기도,평택시,경기도 평택시 평택로 282 (세교동),경기도 평택시 세교동 439-14,37.008346,127.073411,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
참바른약국,경기도,평택시,"경기도 평택시 평택로 286, 동진빌딩 102호 (세교동)",경기도 평택시 세교동 439,37.008850,127.073315,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
우리동네현대약국,경기도,평택시,"경기도 평택시 세교6로 45, 상가동 205호 (세교동, 힐스테이트 평택2차)",경기도 평택시 세교동 597,37.00971057,127.0867788,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
합정약국,경기도,평택시,경기도 평택시 조개터로42번길 60-1 (합정동),경기도 평택시 합정동 776,36.990123,127.106120,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
정문약국,경기도,평택시,경기도 평택시 자유로3번길 20 (평택동),,36.992962,127.089483,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
바른손약국,경기도,평택시,경기도 평택시 안정쇼핑로 42,경기도 평택시 팽성읍 안정리 37번지 13호,36.961286,127.046795,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
미소짓는약국,경기도,평택시,"경기도 평택시 동삭로 384, 동화메디컬 1층 (동삭동)",경기도 평택시 동삭동 340-13,37.020196,127.096890,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
천사약국,경기도,평택시,"경기도 평택시 평택5로 30, 롯데마트 평택점 1층 (합정동)",경기도 평택시 합정동 968-1,36.988363,127.111757,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
열린온누리약국,경기도,평택시,"경기도 평택시 상서재로 55, 근생1동 4호 (동삭동, 평택센트럴자이 3단지)",경기도 평택시 동삭동 852,37.02056647,127.0976854,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
비전중앙약국,경기도,평택시,"경기도 평택시 비전5로 16, 프라우빌딩 1층 111-나호 (비전동)",경기도 평택시 비전동 1105,36.999855,127.113264,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
큰솔약국,경기도,평택시,"경기도 평택시 용죽3로 24, 105호 (용이동)",경기도 평택시 용이동 684-1,36.994105,127.125419,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
솔약국,경기도,평택시,"경기도 평택시 비전3로 25, 골든프라자 102호 (비전동)",경기도 평택시 비전동 1027-3,37.002432,127.104796,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
사랑의약국,경기도,평택시,"경기도 평택시 용죽2로 32-44, 리더스타워 102호 (용이동)",경기도 평택시 용이동 687-4,36.992439,127.125516,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
모닝약국,경기도,평택시,"경기도 평택시 소사2길 4, 1층 (소사동)",경기도 평택시 소사동 515,36.989913,127.121490,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
새서울약국,경기도,평택시,경기도 평택시 평택2로20번길 15 (평택동),경기도 평택시 평택동 289-2,36.992628,127.089419,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
다온수약국,경기도,평택시,"경기도 평택시 용죽3로 18, 다온빌딩 102호 (용이동)",경기도 평택시 용이동 685-3,36.993530,127.125650,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
맑은약국,경기도,평택시,"경기도 평택시 비전5로 20-26, 로데오1103더테라스 129호 (비전동)",경기도 평택시 비전동 1103-3,36.998847,127.114613,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
에브리데이항상약국,경기도,평택시,"경기도 평택시 평남로 951, 디에이치빌딩 1동 1층 103호 (비전동)",경기도 평택시 비전동 995,37.005278,127.103426,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
동삭센트럴약국,경기도,평택시,"경기도 평택시 동삭1로22번길 19-21, 동삭프라자 102호 (동삭동)",,37.02089847,127.0932608,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
